"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","MEGAHIT-MetaBAT2-ERR2143759.7","MEGAHIT-MetaBAT2-ERR2143760.4","SPAdes-MetaBAT2-ERR2143759.4","SPAdes-MetaBAT2-ERR2143760.5"
"group_3401","","hypothetical protein","4","4","1","66","13","","","","509","509","509","KKNACEHJ_00459","OJEIIDGO_01961","EDDCBIGE_03044","KOKFBEGO_01308"
"pheA","","Bifunctional chorismate mutase/prephenate dehydratase","4","4","1","86","5","","","","890","890","890","KKNACEHJ_01447","OJEIIDGO_02678","EDDCBIGE_01034","KOKFBEGO_00822"
"group_3403","","hypothetical protein","4","4","1","138","5","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","455","455","455","KKNACEHJ_01571","OJEIIDGO_03435","EDDCBIGE_02483","KOKFBEGO_03586"
"petC_2","","Cytochrome b6-f complex iron-sulfur subunit","4","4","1","28","32","","","","506","506","506","KKNACEHJ_02522","OJEIIDGO_01937","EDDCBIGE_03605","KOKFBEGO_03635"
"group_3405","","hypothetical protein","4","4","1","128","6","","","","470","470","470","KKNACEHJ_02643","OJEIIDGO_00108","EDDCBIGE_02057","KOKFBEGO_03138"
"group_3406","","hypothetical protein","4","4","1","4","6","","","","311","311","311","KKNACEHJ_02926","OJEIIDGO_00814","EDDCBIGE_02591","KOKFBEGO_00047"
"group_3407","","hypothetical protein","4","4","1","8","39","","","","812","812","812","KKNACEHJ_01248","OJEIIDGO_00599","EDDCBIGE_00811","KOKFBEGO_00073"
"fklB","","FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase","4","4","1","47","14","","","","635","635","635","KKNACEHJ_03417","OJEIIDGO_00087","EDDCBIGE_03661","KOKFBEGO_01627"
"group_3409","","hypothetical protein","4","4","1","4","33","","","","413","413","413","KKNACEHJ_00978","OJEIIDGO_00532","EDDCBIGE_00090","KOKFBEGO_00020"
"clpP","","ATP-dependent Clp protease proteolytic subunit","4","4","1","8","43","","","","596","692","668","KKNACEHJ_01253","OJEIIDGO_03238","EDDCBIGE_00816","KOKFBEGO_00078"
"group_3410","","hypothetical protein","4","4","1","82","16","","","","1634","1634","1634","KKNACEHJ_01041","OJEIIDGO_03536","EDDCBIGE_00738","KOKFBEGO_02466"
"group_3411","","hypothetical protein","4","4","1","3","49","","","","1133","1133","1133","KKNACEHJ_00798","OJEIIDGO_02507","EDDCBIGE_02385","KOKFBEGO_00190"
"group_3412","","hypothetical protein","4","4","1","17","13","","","","1349","1349","1349","KKNACEHJ_00608","OJEIIDGO_00887","EDDCBIGE_00054","KOKFBEGO_00628"
"group_3413","","hypothetical protein","4","4","1","58","18","","","","2480","2480","2480","KKNACEHJ_01426","OJEIIDGO_01498","EDDCBIGE_00395","KOKFBEGO_02014"
"group_3414","","hypothetical protein","4","4","1","13","7","","","","716","716","716","KKNACEHJ_00738","OJEIIDGO_01170","EDDCBIGE_00006","KOKFBEGO_00151"
"group_3415","","hypothetical protein","4","4","1","89","7","","","","710","710","710","KKNACEHJ_03632","OJEIIDGO_02263","EDDCBIGE_02860","KOKFBEGO_01176"
"group_3416","","hypothetical protein","4","4","1","195","5","","","","1109","1109","1109","KKNACEHJ_03281","OJEIIDGO_01312","EDDCBIGE_02801","KOKFBEGO_02709"
"acs","","Acetyl-coenzyme A synthetase","4","4","1","288","1","","","Investigate","1967","1967","1967","KKNACEHJ_00425","OJEIIDGO_00283","EDDCBIGE_03575","KOKFBEGO_03599"
"group_3418","","hypothetical protein","4","4","1","193","2","","","","1574","1574","1574","KKNACEHJ_02327","OJEIIDGO_00743","EDDCBIGE_02752","KOKFBEGO_02767"
"group_3419","","Sulfurtransferase","4","4","1","77","6","","","","305","305","305","KKNACEHJ_03088","OJEIIDGO_00359","EDDCBIGE_01851","KOKFBEGO_00551"
"maeB","","NADP-dependent malic enzyme","4","4","1","196","7","","","","530","2288","1848","KKNACEHJ_01262","OJEIIDGO_01072","EDDCBIGE_00728","KOKFBEGO_03015"
"group_3420","","hypothetical protein","4","4","1","59","1","","","","1403","1403","1403","KKNACEHJ_03692","OJEIIDGO_02207","EDDCBIGE_02868","KOKFBEGO_01560"
"murE","","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","4","4","1","1","54","","","","1418","1418","1418","KKNACEHJ_01808","OJEIIDGO_02761","EDDCBIGE_00776","KOKFBEGO_01568"
"group_3422","","hypothetical protein","4","4","1","2","48","","","","509","509","509","KKNACEHJ_02346","OJEIIDGO_01707","EDDCBIGE_02543","KOKFBEGO_01676"
"mltD_2","","Membrane-bound lytic murein transglycosylase D","4","4","1","143","9","","","","1406","1406","1406","KKNACEHJ_03352","OJEIIDGO_00310","EDDCBIGE_01775","KOKFBEGO_03254"
"rpsS","","30S ribosomal protein S19","4","4","1","16","26","","","","269","269","269","KKNACEHJ_01989","OJEIIDGO_01384","EDDCBIGE_01631","KOKFBEGO_00523"
"betL","","Glycine betaine transporter BetL","4","4","1","158","6","","","","1511","1511","1511","KKNACEHJ_02822","OJEIIDGO_03877","EDDCBIGE_01928","KOKFBEGO_02068"
"group_3426","","hypothetical protein","4","4","1","98","6","","","","401","401","401","KKNACEHJ_01871","OJEIIDGO_03850","EDDCBIGE_02533","KOKFBEGO_01507"
"group_3427","","hypothetical protein","4","4","1","21","4","","","","317","317","317","KKNACEHJ_01094","OJEIIDGO_03637","EDDCBIGE_01755","KOKFBEGO_01666"
"group_3428","","hypothetical protein","4","4","1","77","13","","","","2750","2750","2750","KKNACEHJ_03483","OJEIIDGO_00955","EDDCBIGE_02208","KOKFBEGO_00560"
"rpsT","","30S ribosomal protein S20","4","4","1","61","17","","","","254","254","254","KKNACEHJ_02194","OJEIIDGO_03916","EDDCBIGE_00314","KOKFBEGO_01831"
"group_343","","hypothetical protein","4","4","1","43","9","","","","815","2510","2086","KKNACEHJ_01270","OJEIIDGO_03845","EDDCBIGE_00369","KOKFBEGO_01498"
"group_3430","","hypothetical protein","4","4","1","5","48","","","","2777","2777","2777","KKNACEHJ_02489","OJEIIDGO_00775","EDDCBIGE_02142","KOKFBEGO_02167"
"ftsA","","Cell division protein FtsA","4","4","1","1","49","","","","1322","1322","1322","KKNACEHJ_01813","OJEIIDGO_01794","EDDCBIGE_00781","KOKFBEGO_01573"
"group_3432","","hypothetical protein","4","4","1","108","4","","","","233","233","233","KKNACEHJ_00728","OJEIIDGO_01355","EDDCBIGE_01827","KOKFBEGO_01736"
"group_3433","","hypothetical protein","4","4","1","38","15","","","","1220","1220","1220","KKNACEHJ_02996","OJEIIDGO_02355","EDDCBIGE_01461","KOKFBEGO_00895"
"group_3434","","hypothetical protein","4","4","1","58","7","","","","722","722","722","KKNACEHJ_01436","OJEIIDGO_00430","EDDCBIGE_00405","KOKFBEGO_01056"
"group_3435","","hypothetical protein","4","4","1","12","28","","","","2414","2414","2414","KKNACEHJ_02776","OJEIIDGO_01945","EDDCBIGE_00303","KOKFBEGO_00459"
"group_3436","","hypothetical protein","4","4","1","4","28","","","","1955","1955","1955","KKNACEHJ_00983","OJEIIDGO_02313","EDDCBIGE_00095","KOKFBEGO_00025"
"lpxD_2","","UDP-3-O-acylglucosamine N-acyltransferase","4","4","1","60","20","","","","1040","1040","1040","KKNACEHJ_02936","OJEIIDGO_03347","EDDCBIGE_01782","KOKFBEGO_01653"
"group_3438","","hypothetical protein","4","4","1","100","5","","","","287","287","287","KKNACEHJ_00316","OJEIIDGO_02368","EDDCBIGE_01491","KOKFBEGO_03441"
"rimM","","Ribosome maturation factor RimM","4","4","1","86","13","","","","521","521","521","KKNACEHJ_00304","OJEIIDGO_00557","EDDCBIGE_01039","KOKFBEGO_00827"
"group_344","","hypothetical protein","4","4","1","60","16","","","","227","1709","968","KKNACEHJ_01280","OJEIIDGO_03300","EDDCBIGE_01915","KOKFBEGO_03580"
"hemL","","Glutamate-1-semialdehyde 2,1-aminomutase","4","4","1","15","27","","","","1316","1316","1316","KKNACEHJ_00867","OJEIIDGO_01832","EDDCBIGE_00921","KOKFBEGO_00778"
"group_3441","","hypothetical protein","4","4","1","27","4","","","","362","362","362","KKNACEHJ_01920","OJEIIDGO_01738","EDDCBIGE_00887","KOKFBEGO_00475"
"group_3442","","hypothetical protein","4","4","1","186","2","","","","170","170","170","KKNACEHJ_01587","OJEIIDGO_01510","EDDCBIGE_02794","KOKFBEGO_02732"
"group_3443","","hypothetical protein","4","4","1","6","60","","","","521","521","521","KKNACEHJ_02592","OJEIIDGO_03061","EDDCBIGE_00254","KOKFBEGO_01525"
"ipuC","","Glutamate--isopropylamine ligase","4","4","1","165","7","","","","1358","1358","1358","KKNACEHJ_00188","OJEIIDGO_01088","EDDCBIGE_01859","KOKFBEGO_01723"
"dtd3","","D-aminoacyl-tRNA deacylase","4","4","1","5","17","","","","710","710","710","KKNACEHJ_00687","OJEIIDGO_02665","EDDCBIGE_01021","KOKFBEGO_01286"
"gmk","","Guanylate kinase","4","4","1","35","24","","","","563","563","563","KKNACEHJ_02849","OJEIIDGO_03834","EDDCBIGE_01239","KOKFBEGO_02677"
"group_3447","","hypothetical protein","4","4","1","13","36","","","","689","689","689","KKNACEHJ_02420","OJEIIDGO_00025","EDDCBIGE_00037","KOKFBEGO_00120"
"group_3448","","hypothetical protein","4","4","1","17","18","","","","1019","1019","1019","KKNACEHJ_03120","OJEIIDGO_01513","EDDCBIGE_00080","KOKFBEGO_03499"
"msrA_1","","Peptide methionine sulfoxide reductase MsrA","4","4","1","205","1","","","","545","545","545","KKNACEHJ_02306","OJEIIDGO_01467","EDDCBIGE_02079","KOKFBEGO_02659"
"group_345","","hypothetical protein","4","4","1","188","5","","","","692","839","802","KKNACEHJ_01288","OJEIIDGO_00114","EDDCBIGE_03507","KOKFBEGO_02526"
"group_3450","","hypothetical protein","4","4","1","72","7","","","","1319","1319","1319","KKNACEHJ_01125","OJEIIDGO_02078","EDDCBIGE_01352","KOKFBEGO_02639"
"group_3451","","hypothetical protein","4","4","1","4","19","","","","986","986","986","KKNACEHJ_00994","OJEIIDGO_02302","EDDCBIGE_00106","KOKFBEGO_00036"
"queE","","7-carboxy-7-deazaguanine synthase","4","4","1","84","5","","","","632","632","632","KKNACEHJ_02756","OJEIIDGO_01232","EDDCBIGE_01314","KOKFBEGO_01089"
"prmC_2","","Release factor glutamine methyltransferase","4","4","1","136","5","","","","875","875","875","KKNACEHJ_03096","OJEIIDGO_00925","EDDCBIGE_03062","KOKFBEGO_02020"
"group_3454","","Aminodeoxyfutalosine deaminase","4","4","1","22","22","","","","1166","1166","1166","KKNACEHJ_03581","OJEIIDGO_03235","EDDCBIGE_00913","KOKFBEGO_00594"
"group_3455","","hypothetical protein","4","4","1","160","9","","","","362","362","362","KKNACEHJ_01785","OJEIIDGO_01476","EDDCBIGE_03636","KOKFBEGO_01768"
"group_3456","","hypothetical protein","4","4","1","90","11","","","","626","626","626","KKNACEHJ_00934","OJEIIDGO_00437","EDDCBIGE_02670","KOKFBEGO_02599"
"group_3457","","hypothetical protein","4","4","1","4","42","","","","1382","1382","1382","KKNACEHJ_01766","OJEIIDGO_03175","EDDCBIGE_00081","KOKFBEGO_00011"
"group_3458","","hypothetical protein","4","4","1","3","36","","","","650","650","650","KKNACEHJ_00089","OJEIIDGO_02597","EDDCBIGE_02473","KOKFBEGO_00210"
"axe2","","Acetylxylan esterase","4","4","1","18","14","","","","740","740","740","KKNACEHJ_01848","OJEIIDGO_03285","EDDCBIGE_00601","KOKFBEGO_00394"
"dapE_2","","Succinyl-diaminopimelate desuccinylase","4","4","1","188","3","","","","770","1394","1238","KKNACEHJ_01290","OJEIIDGO_01796","EDDCBIGE_03230","KOKFBEGO_02528"
"group_3460","","hypothetical protein","4","4","1","10","2","","","","392","392","392","KKNACEHJ_03036","OJEIIDGO_01000","EDDCBIGE_00146","KOKFBEGO_00118"
"group_3461","","hypothetical protein","4","4","1","188","6","","","","1424","1424","1424","KKNACEHJ_01287","OJEIIDGO_00115","EDDCBIGE_03508","KOKFBEGO_02525"
"group_3462","","hypothetical protein","4","4","1","105","3","","","","812","812","812","KKNACEHJ_02183","OJEIIDGO_01782","EDDCBIGE_02024","KOKFBEGO_01951"
"group_3463","","hypothetical protein","4","4","1","85","7","","","","854","854","854","KKNACEHJ_03494","OJEIIDGO_01752","EDDCBIGE_01388","KOKFBEGO_01118"
"group_3464","","hypothetical protein","4","4","1","224","5","","","","713","713","713","KKNACEHJ_01083","OJEIIDGO_03131","EDDCBIGE_02995","KOKFBEGO_03241"
"yhaP","","putative protein YhaP","4","4","1","18","17","","","","1337","1337","1337","KKNACEHJ_01851","OJEIIDGO_03288","EDDCBIGE_00598","KOKFBEGO_00397"
"group_3466","","hypothetical protein","4","4","1","166","7","","","","518","518","518","KKNACEHJ_03372","OJEIIDGO_01019","EDDCBIGE_02630","KOKFBEGO_03002"
"rsmI_1","","Ribosomal RNA small subunit methyltransferase I","4","4","1","121","9","","","","701","701","701","KKNACEHJ_02681","OJEIIDGO_00061","EDDCBIGE_03197","KOKFBEGO_03108"
"group_3468","","Epimerase family protein","4","4","1","56","6","","","","914","914","914","KKNACEHJ_03434","OJEIIDGO_02747","EDDCBIGE_02394","KOKFBEGO_03037"
"group_3469","","hypothetical protein","4","4","1","74","2","","","","233","233","233","KKNACEHJ_02809","OJEIIDGO_02440","EDDCBIGE_00853","KOKFBEGO_00786"
"phnZ","","2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming)","4","4","1","138","10","","","","335","584","521","KKNACEHJ_01294","OJEIIDGO_01780","EDDCBIGE_02478","KOKFBEGO_03460"
"group_3470","","hypothetical protein","4","4","1","137","1","","","","4844","4844","4844","KKNACEHJ_00196","OJEIIDGO_03021","EDDCBIGE_02853","KOKFBEGO_02793"
"group_3471","","hypothetical protein","4","4","1","46","8","","","","1154","1154","1154","KKNACEHJ_02292","OJEIIDGO_00761","EDDCBIGE_02409","KOKFBEGO_02864"
"group_3472","","hypothetical protein","4","4","1","94","10","","","","1088","1088","1088","KKNACEHJ_02988","OJEIIDGO_02672","EDDCBIGE_00789","KOKFBEGO_02587"
"mtgA","","Biosynthetic peptidoglycan transglycosylase","4","4","1","42","13","","","","2378","2378","2378","KKNACEHJ_03729","OJEIIDGO_03180","EDDCBIGE_00950","KOKFBEGO_01883"
"group_3474","","hypothetical protein","4","4","1","99","2","","","","911","911","911","KKNACEHJ_02723","OJEIIDGO_00174","EDDCBIGE_03550","KOKFBEGO_02809"
"acoA","","Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha","4","4","1","142","1","","","","1040","1040","1040","KKNACEHJ_00020","OJEIIDGO_02848","EDDCBIGE_01906","KOKFBEGO_01777"
"group_3476","","hypothetical protein","4","4","1","30","9","","","","1475","1475","1475","KKNACEHJ_01488","OJEIIDGO_03908","EDDCBIGE_03705","KOKFBEGO_01454"
"rpmB","","50S ribosomal protein L28","4","4","1","55","18","","","","257","257","257","KKNACEHJ_00958","OJEIIDGO_00388","EDDCBIGE_00278","KOKFBEGO_01601"
"group_3478","","hypothetical protein","4","4","1","45","8","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","1190","1190","1190","KKNACEHJ_03305","OJEIIDGO_01724","EDDCBIGE_02357","KOKFBEGO_03619"
"COQ3_4","","Ubiquinone biosynthesis O-methyltransferase, mitochondrial","4","4","1","130","9","","","","947","947","947","KKNACEHJ_00331","OJEIIDGO_02773","EDDCBIGE_02844","KOKFBEGO_03218"
"group_348","","hypothetical protein","4","4","1","28","19","","","","830","830","830","KKNACEHJ_01311","OJEIIDGO_01453","EDDCBIGE_00577","KOKFBEGO_00294"
"group_3480","","hypothetical protein","4","4","1","63","9","","","","419","419","419","KKNACEHJ_00391","OJEIIDGO_01842","EDDCBIGE_03128","KOKFBEGO_00346"
"carA","","Carbamoyl-phosphate synthase small chain","4","4","1","56","15","","","","1103","1103","1103","KKNACEHJ_01017","OJEIIDGO_01696","EDDCBIGE_02732","KOKFBEGO_01100"
"comM","","Competence protein ComM","4","4","1","96","15","","","","1556","1556","1556","KKNACEHJ_02618","OJEIIDGO_03425","EDDCBIGE_03682","KOKFBEGO_03719"
"group_3483","","hypothetical protein","4","4","1","7","3","","","","485","485","485","KKNACEHJ_03441","OJEIIDGO_01185","EDDCBIGE_00246","KOKFBEGO_02424"
"group_3484","","hypothetical protein","4","4","1","20","1","","","","896","896","896","KKNACEHJ_01213","OJEIIDGO_01485","EDDCBIGE_02602","KOKFBEGO_02594"
"dksA","","RNA polymerase-binding transcription factor DksA","4","4","1","45","17","","","","614","614","614","KKNACEHJ_02249","OJEIIDGO_00045","EDDCBIGE_03103","KOKFBEGO_01687"
"resA_3","","Thiol-disulfide oxidoreductase ResA","4","4","1","10","5","","","","1109","1109","1109","KKNACEHJ_02095","OJEIIDGO_01810","EDDCBIGE_01245","KOKFBEGO_01589"
"group_3487","","hypothetical protein","4","4","1","83","13","","","","320","320","320","KKNACEHJ_02561","OJEIIDGO_03088","EDDCBIGE_01069","KOKFBEGO_02432"
"group_3488","ccp_1","Cytochrome c551 peroxidase","4","4","1","68","11","","","","1028","1028","1028","KKNACEHJ_00651","OJEIIDGO_03502","EDDCBIGE_02614","KOKFBEGO_03072"
"kdsB","","3-deoxy-manno-octulosonate cytidylyltransferase","4","4","1","79","4","","","","743","743","743","KKNACEHJ_00153","OJEIIDGO_00548","EDDCBIGE_01136","KOKFBEGO_01029"
"group_349","","hypothetical protein","4","4","1","103","3","","","","890","917","910","KKNACEHJ_01326","OJEIIDGO_01277","EDDCBIGE_01969","KOKFBEGO_01857"
"sigR_1","","ECF RNA polymerase sigma factor SigR","4","4","1","25","8","","","","551","551","551","KKNACEHJ_01750","OJEIIDGO_01077","EDDCBIGE_01939","KOKFBEGO_02613"
"group_3491","","hypothetical protein","4","4","1","5","28","","","","368","368","368","KKNACEHJ_03243","OJEIIDGO_02203","EDDCBIGE_01435","KOKFBEGO_01988"
"sasA_3","","Adaptive-response sensory-kinase SasA","4","4","1","88","5","","","","1430","1430","1430","KKNACEHJ_02035","OJEIIDGO_01665","EDDCBIGE_02662","KOKFBEGO_01612"
"rng","","Ribonuclease G","4","4","1","17","28","","","","1589","1589","1589","KKNACEHJ_03130","OJEIIDGO_02649","EDDCBIGE_00070","KOKFBEGO_01042"
"dltA","","D-alanine--D-alanyl carrier protein ligase","4","4","1","62","19","","","","2783","2783","2783","KKNACEHJ_01551","OJEIIDGO_01651","EDDCBIGE_01222","KOKFBEGO_01130"
"group_3495","","hypothetical protein","4","4","1","72","1","","","","485","485","485","KKNACEHJ_01135","OJEIIDGO_00845","EDDCBIGE_01362","KOKFBEGO_02054"
"group_3496","","hypothetical protein","4","4","1","129","5","","","","980","980","980","KKNACEHJ_00063","OJEIIDGO_02984","EDDCBIGE_02628","KOKFBEGO_01318"
"nqrC","","Na(+)-translocating NADH-quinone reductase subunit C","4","4","1","84","13","","","","707","707","707","KKNACEHJ_02760","OJEIIDGO_01236","EDDCBIGE_01318","KOKFBEGO_01093"
"group_3498","","hypothetical protein","4","4","1","64","4","","","","251","251","251","KKNACEHJ_00479","OJEIIDGO_00291","EDDCBIGE_00872","KOKFBEGO_03398"
"menG","","Demethylmenaquinone methyltransferase","4","4","1","124","6","","","","731","731","731","KKNACEHJ_02911","OJEIIDGO_02776","EDDCBIGE_01880","KOKFBEGO_01741"
"clpX_3","","ATP-dependent Clp protease ATP-binding subunit ClpX","4","4","1","111","6","","","","2072","3017","2780","KKNACEHJ_01337","OJEIIDGO_00662","EDDCBIGE_00615","KOKFBEGO_02027"
"group_3500","","hypothetical protein","4","4","1","10","33","","","","338","338","338","KKNACEHJ_02101","OJEIIDGO_03985","EDDCBIGE_00127","KOKFBEGO_00099"
"metK","","S-adenosylmethionine synthase","4","4","1","123","7","","","","1253","1253","1253","KKNACEHJ_01473","OJEIIDGO_01903","EDDCBIGE_01619","KOKFBEGO_01539"
"group_3502","","hypothetical protein","4","4","1","7","53","","","","179","179","179","KKNACEHJ_02733","OJEIIDGO_01259","EDDCBIGE_01085","KOKFBEGO_03203"
"ccp_1","","Cytochrome c551 peroxidase","4","4","1","42","22","","","","1124","1124","1124","KKNACEHJ_03661","OJEIIDGO_03189","EDDCBIGE_03002","KOKFBEGO_01789"
"group_3504","","hypothetical protein","4","4","1","182","5","","","","1682","1682","1682","KKNACEHJ_01069","OJEIIDGO_00071","EDDCBIGE_02875","KOKFBEGO_00964"
"mdtC_4","","Multidrug resistance protein MdtC","4","4","1","253","2","","","","3119","3119","3119","KKNACEHJ_02603","OJEIIDGO_02908","EDDCBIGE_03209","KOKFBEGO_03181"
"COQ3_5","","Ubiquinone biosynthesis O-methyltransferase, mitochondrial","4","4","1","19","39","","","","1403","1403","1403","KKNACEHJ_00786","OJEIIDGO_00818","EDDCBIGE_00516","KOKFBEGO_00731"
"resA_1","","Thiol-disulfide oxidoreductase ResA","4","4","1","8","34","","","","593","593","593","KKNACEHJ_01548","OJEIIDGO_00594","EDDCBIGE_00645","KOKFBEGO_00068"
"group_3508","","hypothetical protein","4","4","1","14","43","","","","188","188","188","KKNACEHJ_03739","OJEIIDGO_02934","EDDCBIGE_03332","KOKFBEGO_00177"
"pglA_2","","N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase","4","4","1","62","2","","","","1187","1187","1187","KKNACEHJ_03163","OJEIIDGO_03260","EDDCBIGE_03595","KOKFBEGO_02560"
"group_351","","hypothetical protein","4","4","1","10","24","","","","1109","1670","1389","KKNACEHJ_01338","OJEIIDGO_02234","EDDCBIGE_00118","KOKFBEGO_00090"
"rplA","","50S ribosomal protein L1","4","4","1","106","5","","","","692","692","692","KKNACEHJ_01208","OJEIIDGO_03999","EDDCBIGE_01423","KOKFBEGO_00937"
"nudL","","putative Nudix hydrolase NudL","4","4","1","67","10","","","","668","668","668","KKNACEHJ_01159","OJEIIDGO_02825","EDDCBIGE_01476","KOKFBEGO_01821"
"group_3512","","hypothetical protein","4","4","1","41","5","","","","590","590","590","KKNACEHJ_02793","OJEIIDGO_00362","EDDCBIGE_02323","KOKFBEGO_02352"
"group_3513","","hypothetical protein","4","4","1","11","38","","","","644","644","644","KKNACEHJ_02059","OJEIIDGO_01981","EDDCBIGE_02374","KOKFBEGO_00642"
"group_3514","","hypothetical protein","4","4","1","51","16","","","","1043","1043","1043","KKNACEHJ_03053","OJEIIDGO_03978","EDDCBIGE_02719","KOKFBEGO_00902"
"group_3515","","hypothetical protein","4","4","1","68","8","","","","380","380","380","KKNACEHJ_00648","OJEIIDGO_03505","EDDCBIGE_02617","KOKFBEGO_03075"
"group_3516","","hypothetical protein","4","4","1","252","3","","","","1400","1400","1400","KKNACEHJ_03257","OJEIIDGO_01515","EDDCBIGE_03183","KOKFBEGO_03153"
"group_3517","","hypothetical protein","4","4","1","59","13","","","","1007","1007","1007","KKNACEHJ_00147","OJEIIDGO_02219","EDDCBIGE_01767","KOKFBEGO_02234"
"rpsO","","30S ribosomal protein S15","4","4","1","2","4","","","","275","275","275","KKNACEHJ_02907","OJEIIDGO_03307","EDDCBIGE_02506","KOKFBEGO_01907"
"patA_1","","Peptidoglycan O-acetyltransferase","4","4","1","43","6","","","","1433","1433","1433","KKNACEHJ_03458","OJEIIDGO_03841","EDDCBIGE_00372","KOKFBEGO_01501"
"group_352","","hypothetical protein","4","4","1","114","12","","","","2489","3197","3020","KKNACEHJ_01349","OJEIIDGO_00218","EDDCBIGE_02366","KOKFBEGO_01346"
"group_3520","","hypothetical protein","4","4","1","178","2","","","","866","866","866","KKNACEHJ_01407","OJEIIDGO_03404","EDDCBIGE_02641","KOKFBEGO_02137"
"iolE_2","","Inosose dehydratase","4","4","1","43","8","","","","1055","1055","1055","KKNACEHJ_01271","OJEIIDGO_03843","EDDCBIGE_00370","KOKFBEGO_01499"
"group_3522","","hypothetical protein","4","4","1","197","6","","","","824","824","824","KKNACEHJ_02222","OJEIIDGO_03627","EDDCBIGE_02464","KOKFBEGO_02389"
"group_3523","","hypothetical protein","4","4","1","1","75","","","","728","728","728","KKNACEHJ_00126","OJEIIDGO_01306","EDDCBIGE_01500","KOKFBEGO_00619"
"group_3524","","hypothetical protein","4","4","1","105","8","","","","893","893","893","KKNACEHJ_02178","OJEIIDGO_02546","EDDCBIGE_02029","KOKFBEGO_01946"
"group_3525","","hypothetical protein","4","4","1","112","8","","","","1691","1691","1691","KKNACEHJ_00941","OJEIIDGO_03948","EDDCBIGE_02619","KOKFBEGO_00752"
"group_3526","","hypothetical protein","4","4","1","145","8","","","","1370","1370","1370","KKNACEHJ_00843","OJEIIDGO_01191","EDDCBIGE_02415","KOKFBEGO_02479"
"group_3527","","hypothetical protein","4","4","1","52","7","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","194","194","194","KKNACEHJ_03687","OJEIIDGO_02076","EDDCBIGE_02519","KOKFBEGO_00218"
"group_3528","","hypothetical protein","4","4","1","111","1","","","","104","104","104","KKNACEHJ_01327","OJEIIDGO_03824","EDDCBIGE_00625","KOKFBEGO_02626"
"ravA","","ATPase RavA","4","4","1","90","1","","","","1577","1577","1577","KKNACEHJ_00925","OJEIIDGO_00446","EDDCBIGE_02216","KOKFBEGO_02151"
"group_353","","hypothetical protein","4","4","1","208","1","","","","338","686","599","KKNACEHJ_01358","OJEIIDGO_02632","EDDCBIGE_02920","KOKFBEGO_02852"
"group_3530","","hypothetical protein","4","4","1","72","16","","","","215","215","215","KKNACEHJ_01134","OJEIIDGO_00846","EDDCBIGE_01361","KOKFBEGO_02053"
"group_3531","","hypothetical protein","4","4","1","114","2","","","","584","584","584","KKNACEHJ_01346","OJEIIDGO_00221","EDDCBIGE_02363","KOKFBEGO_01343"
"group_3532","","hypothetical protein","4","4","1","88","4","","","","224","224","224","KKNACEHJ_02034","OJEIIDGO_01666","EDDCBIGE_02663","KOKFBEGO_01613"
"fadF_1","","putative iron-sulfur-binding oxidoreductase FadF","4","4","1","94","9","","","","782","782","782","KKNACEHJ_02989","OJEIIDGO_02673","EDDCBIGE_00788","KOKFBEGO_02588"
"group_3534","","hypothetical protein","4","4","1","227","2","","","","2765","2765","2765","KKNACEHJ_01194","OJEIIDGO_04024","EDDCBIGE_02998","KOKFBEGO_02974"
"group_3535","","hypothetical protein","4","4","1","6","45","","","","2516","2516","2516","KKNACEHJ_03362","OJEIIDGO_03074","EDDCBIGE_02926","KOKFBEGO_03410"
"purL","","Phosphoribosylformylglycinamidine synthase subunit PurL","4","4","1","10","4","","","","2264","2264","2264","KKNACEHJ_02094","OJEIIDGO_01809","EDDCBIGE_01244","KOKFBEGO_01590"
"group_3537","","hypothetical protein","4","4","1","42","12","","","","3092","3092","3092","KKNACEHJ_03728","OJEIIDGO_03179","EDDCBIGE_00949","KOKFBEGO_01882"
"group_3538","bpt_2","Aspartate/glutamate leucyltransferase","4","4","1","38","7","","","","1001","1001","1001","KKNACEHJ_03754","OJEIIDGO_02343","EDDCBIGE_01115","KOKFBEGO_00883"
"group_3539","","dITP/XTP pyrophosphatase","4","4","1","30","10","","","","581","581","581","KKNACEHJ_01489","OJEIIDGO_01600","EDDCBIGE_00536","KOKFBEGO_01455"
"group_354","","hypothetical protein","4","4","1","54","9","","","","974","1628","1301","KKNACEHJ_01363","OJEIIDGO_02443","EDDCBIGE_02736","KOKFBEGO_02744"
